1,Департамент управления данными и аналитики,DDA,,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
2,Департамент учетных систем,ACC,,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
3,Департамент по поддержке и производству прикладных систем,APP,,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
4,Департамент корпоративного менеджмента,CORP,,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
5,Департамент цифровой трансформации и архитектуры,DTA,3,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
6,Департамент инфраструктуры и DevOps,DEVOPS,,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
7,Департамент информационной безопасности,SEC,,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
8,Департамент сервис-деск и эксплуатации ИТ,SD,4,t,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
